timestamp,ward_id,population_density,outdoor_worker_ratio,built_up_ratio,temperature_c,rh_pct,wind_speed_kmh,shortwave_radiation_wm2,wbgt_proxy,heat_index,htsi_score,risk_label
2026-08-20T00:00,1,2083.05,,,28.6,84,6.5,0.0,33.03,34.44,46,MODERATE
2026-08-20T01:00,1,2083.05,,,28.3,85,5.8,0.0,32.79,33.76,45,MODERATE
2026-08-20T02:00,1,2083.05,,,28.3,84,5.8,0.0,32.64,33.57,45,MODERATE
2026-08-20T03:00,1,2083.05,,,27.5,87,9.5,0.0,32.04,31.79,41,MODERATE
2026-08-20T04:00,1,2083.05,,,27.1,89,10.4,0.0,31.81,30.91,38,MODERATE
2026-08-20T05:00,1,2083.05,,,27.3,93,8.1,1.0,32.64,31.99,42,MODERATE
2026-08-20T06:00,1,2083.05,,,28.1,89,7.4,80.0,33.13,33.88,46,MODERATE
2026-08-20T07:00,1,2083.05,,,29.4,83,6.8,277.0,33.94,36.62,51,HIGH
2026-08-20T08:00,1,2083.05,,,30.5,79,9.1,486.0,34.74,38.92,55,HIGH
2026-08-20T09:00,1,2083.05,,,31.4,73,8.7,672.0,34.88,39.7,57,HIGH
2026-08-20T10:00,1,2083.05,,,31.9,70,9.4,779.0,34.99,40.12,58,HIGH
2026-08-20T11:00,1,2083.05,,,31.2,71,11.4,776.0,34.27,38.46,55,HIGH
2026-08-20T12:00,1,2083.05,,,31.1,72,8.4,500.0,34.31,38.49,55,HIGH
2026-08-20T13:00,1,2083.05,,,31.4,73,10.4,618.0,34.88,39.7,57,HIGH
2026-08-20T14:00,1,2083.05,,,31.1,74,9.8,512.0,34.67,39.14,56,HIGH
2026-08-20T15:00,1,2083.05,,,31.0,74,9.5,460.0,34.54,38.85,55,HIGH
2026-08-20T16:00,1,2083.05,,,30.8,75,11.3,339.0,34.45,38.58,54,HIGH
2026-08-20T17:00,1,2083.05,,,31.1,76,7.4,129.0,35.02,39.81,56,HIGH
2026-08-20T18:00,1,2083.05,,,30.2,80,4.4,12.0,34.51,38.29,53,HIGH
2026-08-20T19:00,1,2083.05,,,29.9,82,6.5,0.0,34.44,37.92,52,HIGH
2026-08-20T20:00,1,2083.05,,,29.8,83,8.7,0.0,34.47,37.89,52,HIGH
2026-08-20T21:00,1,2083.05,,,29.4,87,8.3,0.0,34.58,37.67,51,HIGH
2026-08-20T22:00,1,2083.05,,,29.0,90,7.0,0.0,34.5,37.08,51,HIGH
2026-08-20T23:00,1,2083.05,,,29.7,86,8.0,0.0,34.83,38.41,53,HIGH
2026-08-21T00:00,1,2083.05,,,29.4,88,7.5,0.0,34.74,37.94,52,HIGH
2026-08-21T01:00,1,2083.05,,,29.3,87,6.7,0.0,34.44,37.33,51,HIGH
2026-08-21T02:00,1,2083.05,,,29.0,88,6.3,0.0,34.19,36.58,50,MODERATE
2026-08-21T03:00,1,2083.05,,,28.9,88,6.8,0.0,34.05,36.25,49,MODERATE
2026-08-21T04:00,1,2083.05,,,27.8,91,11.6,0.0,33.02,33.28,44,MODERATE
2026-08-21T05:00,1,2083.05,,,29.2,90,4.4,1.0,34.78,37.78,52,HIGH
2026-08-21T06:00,1,2083.05,,,29.9,83,4.4,79.0,34.61,38.21,53,HIGH
2026-08-21T07:00,1,2083.05,,,30.6,81,2.5,261.0,35.22,39.89,57,HIGH
2026-08-21T08:00,1,2083.05,,,31.3,79,1.1,448.0,35.83,41.52,60,HIGH
2026-08-21T09:00,1,2083.05,,,32.1,77,2.5,655.0,36.56,43.46,63,HIGH
2026-08-21T10:00,1,2083.05,,,32.4,76,5.9,749.0,36.78,44.07,63,HIGH
2026-08-21T11:00,1,2083.05,,,32.6,70,7.3,836.0,35.91,42.22,61,HIGH
2026-08-21T12:00,1,2083.05,,,32.9,67,8.1,684.0,35.72,41.91,60,HIGH
2026-08-21T13:00,1,2083.05,,,30.5,79,11.1,685.0,34.74,38.92,56,HIGH
2026-08-21T14:00,1,2083.05,,,30.0,83,5.0,225.0,34.74,38.54,54,HIGH
2026-08-21T15:00,1,2083.05,,,30.7,80,5.4,400.0,35.18,39.88,57,HIGH
2026-08-21T16:00,1,2083.05,,,31.2,72,9.0,325.0,34.44,38.78,54,HIGH
2026-08-21T17:00,1,2083.05,,,31.5,78,7.1,126.0,35.92,41.82,58,HIGH
2026-08-21T18:00,1,2083.05,,,30.4,82,9.2,9.0,35.12,39.55,54,HIGH
2026-08-21T19:00,1,2083.05,,,29.9,86,10.9,0.0,35.1,39.1,53,HIGH
2026-08-21T20:00,1,2083.05,,,29.5,89,10.8,0.0,35.04,38.57,53,HIGH
2026-08-21T21:00,1,2083.05,,,29.4,89,10.2,0.0,34.9,38.22,52,HIGH
2026-08-21T22:00,1,2083.05,,,29.5,88,11.9,0.0,34.88,38.29,52,HIGH
2026-08-21T23:00,1,2083.05,,,29.1,90,11.7,0.0,34.64,37.43,51,HIGH
2026-08-22T00:00,1,2083.05,,,28.8,90,11.2,0.0,34.23,36.38,49,MODERATE
2026-08-22T01:00,1,2083.05,,,28.5,91,8.3,0.0,33.97,35.59,48,MODERATE
2026-08-22T02:00,1,2083.05,,,28.4,92,7.8,0.0,33.99,35.46,48,MODERATE
2026-08-22T03:00,1,2083.05,,,28.2,93,6.4,0.0,33.86,34.97,47,MODERATE
2026-08-22T04:00,1,2083.05,,,28.1,93,4.8,0.0,33.72,34.63,47,MODERATE
2026-08-22T05:00,1,2083.05,,,28.6,92,7.2,1.0,34.26,36.15,49,MODERATE
2026-08-22T06:00,1,2083.05,,,29.0,91,6.4,70.0,34.66,37.33,51,HIGH
2026-08-22T07:00,1,2083.05,,,30.1,79,7.1,238.0,34.21,37.69,53,HIGH
2026-08-22T08:00,1,2083.05,,,28.9,88,12.1,345.0,34.05,36.25,50,MODERATE
2026-08-22T09:00,1,2083.05,,,29.5,83,11.8,453.0,34.07,36.94,51,HIGH
2026-08-22T10:00,1,2083.05,,,30.8,79,11.2,624.0,35.15,39.87,57,HIGH
2026-08-22T11:00,1,2083.05,,,32.3,72,11.1,783.0,35.89,42.08,60,HIGH
2026-08-22T12:00,1,2083.05,,,31.8,74,10.7,800.0,35.59,41.28,60,HIGH
2026-08-22T13:00,1,2083.05,,,28.9,88,14.4,553.0,34.05,36.25,50,MODERATE
2026-08-22T14:00,1,2083.05,,,28.6,90,8.5,155.0,33.95,35.71,49,MODERATE
2026-08-22T15:00,1,2083.05,,,29.3,84,8.6,249.0,33.96,36.57,50,MODERATE
2026-08-22T16:00,1,2083.05,,,29.8,81,9.4,257.0,34.14,37.33,52,HIGH
2026-08-22T17:00,1,2083.05,,,29.9,86,5.4,72.0,35.1,39.1,55,HIGH
2026-08-22T18:00,1,2083.05,,,29.5,87,4.6,10.0,34.72,38.01,53,HIGH
2026-08-22T19:00,1,2083.05,,,29.2,89,3.6,0.0,34.62,37.52,52,HIGH
2026-08-22T20:00,1,2083.05,,,28.9,90,3.8,0.0,34.37,36.73,51,HIGH
2026-08-22T21:00,1,2083.05,,,28.6,89,6.6,0.0,33.8,35.49,48,MODERATE
2026-08-22T22:00,1,2083.05,,,28.3,86,9.4,0.0,32.94,33.94,45,MODERATE
2026-08-22T23:00,1,2083.05,,,28.8,85,7.6,0.0,33.45,35.25,48,MODERATE
2026-08-23T00:00,1,2083.05,,,28.3,87,7.6,0.0,33.09,34.13,46,MODERATE
2026-08-23T01:00,1,2083.05,,,28.1,87,9.2,0.0,32.83,33.53,44,MODERATE
2026-08-23T02:00,1,2083.05,,,27.8,88,7.9,0.0,32.58,32.8,43,MODERATE
2026-08-23T03:00,1,2083.05,,,26.9,92,11.9,0.0,31.97,30.65,37,MODERATE
2026-08-23T04:00,1,2083.05,,,26.8,93,9.2,0.0,31.97,30.45,37,MODERATE
2026-08-23T05:00,1,2083.05,,,27.3,92,9.2,1.0,32.5,31.86,41,MODERATE
2026-08-23T06:00,1,2083.05,,,28.0,91,10.9,69.0,33.29,33.92,45,MODERATE
2026-08-23T07:00,1,2083.05,,,28.9,84,13.4,226.0,33.43,35.33,48,MODERATE
2026-08-23T08:00,1,2083.05,,,29.8,81,13.0,407.0,34.14,37.33,52,HIGH
2026-08-23T09:00,1,2083.05,,,30.8,78,12.2,618.0,34.97,39.54,56,HIGH
2026-08-23T10:00,1,2083.05,,,31.3,76,11.3,693.0,35.29,40.44,58,HIGH
2026-08-23T11:00,1,2083.05,,,31.7,74,15.4,737.0,35.46,40.97,59,HIGH
2026-08-23T12:00,1,2083.05,,,31.6,74,12.3,813.0,35.33,40.66,59,HIGH
2026-08-23T13:00,1,2083.05,,,32.2,71,14.0,729.0,35.57,41.38,59,HIGH
2026-08-23T14:00,1,2083.05,,,32.3,69,15.6,667.0,35.32,40.92,58,HIGH
2026-08-23T15:00,1,2083.05,,,31.9,68,16.5,408.0,34.62,39.41,55,HIGH
2026-08-23T16:00,1,2083.05,,,30.7,73,17.7,281.0,33.97,37.68,51,HIGH
2026-08-23T17:00,1,2083.05,,,29.9,83,9.3,128.0,34.61,38.21,53,HIGH
2026-08-23T18:00,1,2083.05,,,28.6,85,10.0,9.0,33.19,34.64,46,MODERATE
2026-08-23T19:00,1,2083.05,,,28.3,88,8.5,0.0,33.25,34.32,46,MODERATE
2026-08-23T20:00,1,2083.05,,,28.3,89,7.6,0.0,33.4,34.52,46,MODERATE
2026-08-23T21:00,1,2083.05,,,28.1,90,9.1,0.0,33.28,34.07,45,MODERATE
2026-08-23T22:00,1,2083.05,,,28.0,89,9.1,0.0,32.99,33.57,44,MODERATE
2026-08-23T23:00,1,2083.05,,,28.4,89,8.4,0.0,33.53,34.84,47,MODERATE
2026-08-24T00:00,1,2083.05,,,27.6,91,8.4,0.0,32.75,32.65,43,MODERATE
2026-08-24T01:00,1,2083.05,,,27.2,93,7.0,0.0,32.51,31.67,41,MODERATE
2026-08-24T02:00,1,2083.05,,,26.8,94,8.8,0.0,32.11,30.54,38,MODERATE
2026-08-24T03:00,1,2083.05,,,26.7,95,6.3,0.0,32.12,30.32,37,MODERATE
2026-08-24T04:00,1,2083.05,,,26.8,94,8.6,0.0,32.11,30.54,38,MODERATE
2026-08-24T05:00,1,2083.05,,,27.2,90,9.5,1.0,32.08,31.31,40,MODERATE
2026-08-24T06:00,1,2083.05,,,26.8,95,13.9,33.0,32.25,30.64,37,MODERATE
2026-08-24T07:00,1,2083.05,,,27.2,93,13.4,131.0,32.51,31.67,41,MODERATE
2026-08-24T08:00,1,2083.05,,,26.8,94,15.1,218.0,32.11,30.54,37,MODERATE
2026-08-24T09:00,1,2083.05,,,26.6,95,9.4,246.0,31.98,26.6,27,MODERATE
2026-08-24T10:00,1,2083.05,,,29.3,85,13.6,482.0,34.12,36.82,51,HIGH
2026-08-24T11:00,1,2083.05,,,31.2,74,16.8,724.0,34.8,39.44,56,HIGH
2026-08-24T12:00,1,2083.05,,,29.7,79,17.5,443.0,33.68,36.5,50,MODERATE
2026-08-24T13:00,1,2083.05,,,29.5,83,19.1,301.0,34.07,36.94,50,MODERATE
